Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (BRL),Competitive Density,SERP Features,Number of Results
melhores vitaminas para imunidade,Informational,480,"0.44,0.44,0.67,0.67,1.00,0.55,0.44,0.44,0.30,0.36,0.55,0.24",13,0.80,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",9770000
qual a melhor vitamina c para imunidade,"Informational, Commercial",480,"0.39,0.48,0.72,0.48,0.59,0.48,0.39,0.39,0.59,0.59,0.72,1.00",21,0.50,1.00,"Featured snippet, Sitelinks, Video, People also ask, Related searches",10100000
qual a melhor vitamina para imunidade,Informational,480,"0.67,0.81,1.00,1.00,1.00,1.00,0.81,0.81,0.67,0.44,0.54,0.67",15,0.80,1.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",212
melhor vitamina para aumentar a imunidade adulto,Informational,390,"0.81,0.81,0.81,0.81,0.66,1.00,0.66,0.66,0.44,0.35,0.44,0.35",17,0.70,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",207
qual melhor vitamina para imunidade,"Informational, Commercial",390,"0.54,0.67,1.00,0.81,0.81,1.00,0.81,0.81,0.67,0.44,0.44,0.44",15,0.70,1.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",9100000
vitamina infantil para aumentar a imunidade e apetite,"Informational, Commercial",390,"0.66,0.66,1.00,0.81,0.54,0.66,0.66,0.66,0.54,0.35,0.35,0.44",18,1.19,1.00,"Sitelinks, AI Overview, Image pack, Video, Short videos, People also ask, Related searches",500000
vitamina para imunidade adulto,Informational,390,"0.54,0.44,1.00,0.44,0.44,0.54,0.44,0.44,0.44,0.29,0.44,0.36",19,0.70,0.99,"Sitelinks, AI Overview, Image pack, Video, Short videos, Related searches",396000
vitaminas para aumentar imunidade,Informational,390,"0.83,0.83,1.00,1.00,1.00,1.00,0.83,0.83,0.83,0.56,0.56,0.56",11,0.75,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",222
vitaminas para imunidade baixa,Informational,390,"0.44,0.54,1.00,0.44,0.44,0.82,0.67,0.54,0.54,0.54,0.54,0.54",20,0.65,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",6870000
vitaminas para imunidade infantil,Informational,390,"0.67,0.81,1.00,0.81,0.67,0.67,0.67,0.67,0.54,0.36,0.36,0.44",12,1.09,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",6720000
vitamina c para imunidade,Informational,320,"0.67,0.67,1.00,0.82,0.82,0.82,0.67,0.44,0.55,0.29,0.44,0.44",18,0.70,1.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",221
vitamina para melhorar a imunidade,Informational,320,"0.67,0.54,1.00,0.81,0.81,0.81,0.67,0.67,0.54,0.43,0.54,0.54",13,0.80,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches",10800000
melhor vitamina para imunidade infantil,Informational,260,"0.66,0.81,1.00,0.66,0.43,0.35,0.35,0.35,0.35,0.22,0.29,0.35",22,1.04,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches",9160000
vitamina injetável para imunidade,Informational,260,"0.55,0.55,0.67,1.00,0.82,0.44,0.35,0.44,0.35,0.23,0.18,0.23",24,0.75,0.69,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches",623000
qual vitamina é boa para imunidade,Informational,210,"0.80,0.80,1.00,0.80,1.00,1.00,0.80,0.80,0.65,0.53,0.53,0.53",18,0.75,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",9770000
vitamina imune para que serve,Informational,210,"0.81,0.81,0.64,1.00,0.64,0.64,0.64,0.64,0.53,0.28,0.33,0.28",18,0.75,0.53,"Sitelinks, AI Overview, Video, Related searches",2240000
vitaminas infantil para aumentar a imunidade,Informational,210,"0.54,0.43,0.66,0.43,1.00,0.43,0.43,0.43,0.29,0.22,0.22,0.35",12,1.04,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches",198
vitaminas neo química imune para que serve,Informational,210,"0.65,0.65,1.00,0.80,0.80,1.00,0.52,0.65,0.43,0.34,0.34,0.28",11,0.65,0.54,"Sitelinks, AI Overview, Video, Short videos, Related searches",207
coquetel de vitaminas para imunidade,Informational,170,"0.80,1.00,1.00,0.80,0.65,0.80,0.65,0.53,0.08,0.08,0.08,0.08",27,0.00,0.67,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",159
melhores vitaminas para imunidade infantil,Informational,170,"0.67,0.81,1.00,0.81,0.43,0.17,0.12,0.12,0.12,0.07,0.27,0.12",19,1.04,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches",175
qual a melhor vitamina c para aumentar a imunidade,Informational,170,"1.00,0.80,1.00,0.80,0.65,0.80,0.50,0.40,0.15,0.15,0.15,0.10",12,0.35,0.99,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",8410000
qual a melhor vitamina para imunidade baixa,Informational,170,"0.80,0.65,1.00,0.80,0.65,0.80,0.65,0.65,0.65,0.53,0.65,0.53",12,0.75,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",201
qual vitamina para imunidade baixa,Informational,170,"0.65,0.65,1.00,0.65,0.65,0.80,0.80,0.80,0.42,0.42,0.53,0.53",23,0.75,1.00,"Sitelinks, AI Overview, Video, Related searches",213
qual vitamina tomar para aumentar a imunidade,Informational,170,"0.81,0.81,0.81,0.81,1.00,1.00,0.66,0.66,0.66,0.53,0.53,0.43",17,0.75,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",9210000
vitamina injetavel para imunidade,Informational,170,"0.81,0.81,1.00,1.00,0.53,0.64,0.64,0.53,0.33,0.25,0.25,0.33",25,0.75,0.69,"Sitelinks, AI Overview, Image pack, Video, Related searches",
vitaminas infantil para imunidade,Informational,170,"0.52,0.79,1.00,0.79,0.52,0.79,0.79,0.41,0.52,0.52,0.79,0.52",13,0.99,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",7830000
vitaminas para imunidade mulher,Informational,170,"0.43,0.53,1.00,0.53,0.65,0.53,0.34,0.65,0.34,0.43,0.53,0.09",9,0.70,1.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",9490000
qual vitamina para aumentar a imunidade,Informational,140,"1.00,1.00,1.00,1.00,0.83,1.00,0.83,0.83,0.65,0.53,0.53,0.41",10,0.75,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",9900000
vitamina c para imunidade baixa,Informational,140,"0.81,0.66,0.81,0.66,0.81,1.00,0.53,1.00,0.66,0.53,0.53,0.53",21,0.60,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",8510000
vitamina infantil para imunidade goma,Informational,140,"0.81,0.81,1.00,0.81,0.53,0.66,0.53,0.66,0.33,0.33,0.24,0.24",19,1.09,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches",214000
vitamina para aumentar a imunidade da criança,Informational,140,"0.66,0.66,1.00,0.80,0.80,0.66,0.66,0.80,0.66,0.33,0.23,0.52",12,0.99,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",5440000
vitamina para aumentar a imunidade do cachorro,"Informational, Commercial",140,"1.00,0.65,0.82,0.65,0.65,0.65,0.65,0.65,0.65,0.52,0.65,0.52",7,0.45,1.00,"AI Overview, Video, Related searches, Popular products",3820
vitamina para aumentar a imunidade homem,Informational,140,"0.83,0.83,1.00,1.00,0.83,1.00,0.83,0.83,0.63,0.51,0.51,0.29",13,0.70,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",4340000
vitamina para aumentar imunidade infantil,Informational,140,"0.42,0.53,1.00,0.64,0.33,0.42,0.33,0.42,0.33,0.14,0.19,0.28",9,0.89,0.98,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches",3980000
vitamina para imunidade baixa feminina,Informational,140,"0.67,0.81,1.00,1.00,0.81,0.81,0.52,0.67,0.33,0.24,0.24,0.24",17,0.75,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",543000
vitamina para imunidade da mulher,Informational,140,"0.80,1.00,1.00,0.80,0.65,0.80,0.26,0.26,0.19,0.26,0.34,0.26",14,0.85,0.99,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",227
vitamina para imunidade mulher,Informational,140,"0.34,0.28,0.65,0.43,1.00,0.53,0.43,0.53,0.21,0.21,0.43,0.28",14,0.70,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches",195
vitamina para imunidade para criança,Informational,140,"1.00,0.80,0.80,0.80,0.34,0.41,0.25,0.25,0.25,0.18,0.25,0.18",21,0.60,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",9040000
vitaminas boa para imunidade,Informational,140,"0.51,0.51,1.00,0.66,0.80,0.80,0.66,0.66,0.43,0.31,0.43,0.51",14,0.80,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",9720000
melhor vitamina para baixa imunidade,"Informational, Commercial",110,"0.78,0.78,1.00,1.00,1.00,0.78,0.63,0.63,0.63,0.50,0.50,0.78",16,0.80,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",176
melhor vitamina para imunidade baixa,Informational,110,"0.79,0.79,1.00,1.00,0.79,0.79,0.64,0.64,0.64,0.49,0.49,0.79",20,0.80,1.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",6810000
melhor vitaminas para imunidade,Commercial,110,"0.00,0.00,0.00,0.00,1.00,0.01,0.01,0.01,0.00,0.00,0.36,0.00",18,0.80,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",9840000
melhores vitamina para imunidade,Informational,110,"0.02,0.00,0.03,0.03,1.00,0.02,0.03,0.02,0.00,0.00,0.16,0.00",14,0.80,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",9950000
melhores vitamina para imunidade infantil,Commercial,110,"0.00,0.07,0.00,0.07,0.80,0.80,0.80,1.00,0.80,0.65,0.53,1.00",16,1.04,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",8280000
qual a vitamina para aumentar a imunidade,Informational,110,"0.79,0.64,1.00,0.79,1.00,1.00,0.64,0.64,0.64,0.64,0.64,0.50",13,0.75,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",9780000
qual melhor vitamina para aumentar a imunidade,Informational,110,"0.78,1.00,1.00,0.78,0.78,0.78,0.78,0.78,0.63,0.35,0.35,0.50",9,0.80,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",9630000
qual melhor vitamina para imunidade infantil,Commercial,110,"0.52,0.52,1.00,0.80,0.42,0.52,0.42,0.52,0.42,0.19,0.23,0.42",18,1.19,1.00,"Sitelinks, AI Overview, Image pack, Video, Short videos, People also ask, Related searches",7430000
qual é a melhor vitamina para aumentar a imunidade,Informational,110,"0.52,0.52,1.00,0.65,0.82,0.65,0.65,0.52,0.40,0.29,0.29,0.40",19,0.70,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",9150000
vitamina boa para aumentar a imunidade,Informational,110,"0.78,0.63,1.00,1.00,1.00,0.78,0.78,0.78,0.63,0.50,0.63,0.63",19,0.85,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",9190000
vitamina boa para imunidade infantil,Informational,110,"0.52,0.66,1.00,0.66,0.42,0.42,0.42,0.42,0.52,0.33,0.33,0.42",26,0.94,0.98,"Sitelinks, AI Overview, Image pack, Video, Short videos, Related searches",9200000
vitamina c é bom para imunidade,Informational,110,"0.53,0.65,1.00,0.65,0.83,0.83,0.83,0.83,0.83,0.53,0.65,0.41",21,0.50,0.34,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",10100000
vitamina d para imunidade,Informational,110,"0.64,1.00,1.00,1.00,0.79,0.79,0.64,0.50,0.50,0.50,0.50,0.50",15,0.70,1.00,"Sitelinks, AI Overview, Video, Short videos, Related searches",9770000
vitamina para aumentar a imunidade natural,Informational,110,"0.83,0.83,1.00,0.83,0.41,0.65,0.53,0.53,0.29,0.29,0.29,0.29",23,0.70,0.99,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",9430000
vitamina para imunidade baixa infantil,Informational,110,"0.62,1.00,1.00,1.00,0.62,0.62,0.62,0.76,0.62,0.62,0.34,0.34",11,1.04,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches",1840000
vitamina para imunidade crianca,Informational,110,"0.11,0.11,0.81,0.81,1.00,0.42,0.64,0.64,0.42,0.03,0.33,0.33",14,1.09,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",9510000
vitamina para imunidade homem,Informational,110,"1.00,0.65,0.81,0.65,0.81,0.53,0.65,1.00,0.65,0.53,0.40,0.40",18,0.65,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",8450000
vitamina para imunidade infantil 3 anos,Informational,110,"0.66,1.00,1.00,0.79,0.41,0.41,0.52,0.31,0.21,0.17,0.17,0.31",12,1.34,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches",211
vitaminas para imunidade baixa adulto,Informational,110,"0.23,0.23,0.28,0.23,0.28,0.28,0.23,0.17,0.12,1.00,0.12,0.10",20,0.60,1.00,"Sitelinks, AI Overview, Image pack, Video, Short videos, Related searches",1110000
vitaminas para imunidade para criança,Informational,110,"0.64,0.64,1.00,0.82,0.52,0.64,0.52,0.52,0.41,0.41,0.41,0.41",13,0.60,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",10200000
vitaminas para melhorar a imunidade,Commercial,110,"0.42,0.53,0.53,0.53,0.53,0.42,0.42,0.42,0.26,0.26,0.35,1.00",17,0.80,1.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",9820000
complexo vitaminico para imunidade,Informational,90,"0.76,0.76,1.00,0.76,0.76,0.76,0.48,0.48,0.48,0.28,0.34,0.21",17,0.89,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",
melhor vitamina infantil para imunidade,Commercial,90,"0.40,0.52,1.00,0.82,0.40,0.40,0.40,0.40,0.40,0.29,0.40,0.29",18,0.85,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",7650000
melhores vitaminas para imunidade baixa,Commercial,90,"0.63,0.78,1.00,0.78,0.63,0.63,0.78,0.50,0.63,0.50,0.50,0.63",13,0.80,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",7170000
melhores vitaminas para imunidade feminina,Commercial,90,"0.28,0.65,0.81,0.65,0.81,1.00,0.65,0.23,0.40,0.40,0.16,0.40",12,0.75,1.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",1910000
qual a melhor vitamina para imunidade infantil,"Informational, Commercial",90,"0.52,0.65,1.00,0.82,0.40,0.40,0.40,0.40,0.40,0.23,0.17,0.17",21,1.04,1.00,"Sitelinks, AI Overview, Image pack, Video, Short videos, People also ask, Related searches",7370000
qual vitamina tomar para imunidade baixa,Informational,90,"0.63,1.00,1.00,1.00,1.00,1.00,0.81,1.00,1.00,0.63,0.44,0.81",17,0.80,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches",7480000
qual vitamina é boa para aumentar a imunidade,Informational,90,"0.63,0.81,1.00,1.00,0.81,1.00,0.81,0.81,0.63,0.44,0.81,0.63",11,0.70,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",9340000
vitamina boa para imunidade baixa,Informational,90,"0.11,0.79,1.00,0.79,0.79,0.79,0.63,0.47,0.63,0.47,0.47,0.47",14,0.80,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",190
vitamina para aumentar a imunidade infantil 2 anos,Informational,90,"0.52,0.82,1.00,0.52,0.43,0.32,0.23,0.23,0.23,0.18,0.09,0.18",16,1.59,1.00,"Sitelinks, AI Overview, Image pack, Video, Short videos, Related searches",2390000
vitamina para aumentar imunidade de criança,Informational,90,"0.80,0.66,1.00,1.00,0.80,0.66,0.66,0.49,0.49,0.49,0.34,0.34",10,0.94,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",195
vitamina para fortalecer a imunidade,Informational,90,"0.81,0.81,1.00,0.81,1.00,1.00,0.81,0.81,0.81,0.63,0.63,0.63",20,0.80,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",5470000
vitamina para imunidade criança,Informational,90,"0.64,0.64,1.00,1.00,0.64,0.49,0.64,0.49,0.36,0.13,0.28,0.49",11,1.09,1.00,"Sitelinks, AI Overview, Image pack, Video, Short videos, Related searches",8960000
vitamina para imunidade de criança,Informational,90,"1.00,0.82,1.00,0.82,1.00,0.82,0.82,0.82,0.82,0.45,0.64,0.64",16,1.09,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",8660000
vitamina para imunidade e energia,Informational,90,"0.81,0.62,0.81,0.81,0.81,0.81,1.00,0.81,0.62,0.62,0.81,0.62",15,0.70,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",8640000
vitamina para imunidade infantil 1 ano,Informational,90,"0.82,0.82,1.00,0.65,0.40,0.40,0.29,0.40,0.23,0.11,0.17,0.17",9,0.99,0.94,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches",7280000
vitamina para imunidade infantil 2 anos,Informational,90,"0.83,0.83,1.00,0.65,0.52,0.39,0.39,0.26,0.26,0.09,0.22,0.26",10,1.04,1.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",5350000
vitamina para levantar imunidade,Informational,90,"0.60,1.00,1.00,1.00,0.80,0.60,0.60,0.80,0.80,0.40,0.33,0.40",12,0.80,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches",217
vitaminas boas para imunidade,Informational,90,"0.53,0.40,0.64,0.53,0.81,0.28,1.00,0.53,0.17,0.40,0.40,0.53",12,0.80,1.00,"Sitelinks, AI Overview, Video, Related searches",9390000
vitaminas injetaveis para imunidade,Informational,90,"0.33,0.33,0.66,0.80,1.00,0.52,0.23,0.33,0.23,0.09,0.42,0.09",21,0.85,0.85,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches",176
vitaminas para aumentar a imunidade adulto,Informational,90,"0.64,0.78,1.00,0.50,0.78,0.35,0.35,0.35,0.64,0.35,0.35,0.64",23,0.65,1.00,"Featured snippet, Sitelinks, Video, Video carousel, Short videos, People also ask, Related searches",2030000
vitaminas para aumentar a imunidade do cachorro,Informational,90,"1.00,0.81,0.81,0.81,0.81,0.08,0.08,0.63,1.00,0.44,1.00,0.81",15,0.45,1.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Popular products",287000
