NUM;TIPO;CLUSTER;TITLE;SLUG;KW1;KW2;QTD_PRODUTOS;PRODUTOS
19;review;maquina-de-gelo;Melhor Maquina de Gelo de 2026;melhor-maquina-de-gelo;melhor maquina de gelo;maquina de fazer gelo qual a melhor;4;Mondial MG-12 GI Turbo Ice Premium|Philco PMG01PI|Suggar FAC40|Portatil 12kg
20;review;maquina-de-gelo;Melhor Maquina de Gelo Portatil de 2026;melhor-maquina-de-gelo-portatil;melhor maquina de gelo portatil;maquina de fazer gelo portatil;2;Portatil 12kg/dia|Philco PMG01PI Portatil
21;review;maquina-de-gelo;Maquina de Gelo Everest e Boa?;maquina-de-gelo-everest-e-boa;maquina de gelo everest e boa;maquina de gelo everest;2;Everest EGC 50A 50kg|Everest EGC 150 150kg
22;review;maquina-de-gelo;Maquina de Gelo Philco e Boa?;maquina-de-gelo-philco-e-boa;maquina de gelo philco e boa;philco maquina de gelo;2;Philco PMG01PI|Philco PMG02T
23;receita;maquina-de-gelo;Como Usar Maquina de Gelo: Guia Completo;como-usar-maquina-de-gelo-guia-completo;como usar maquina de gelo;maquina de fazer gelo como funciona;0;-
24;review;cafeteira-tres-coracoes;Melhor Cafeteira Capsula Tres Coracoes de 2026;melhor-cafeteira-capsula-tres-coracoes;melhor cafeteira capsula tres coracoes;cafeteira capsula tres coracoes;3;Tres Coracoes Passione|Três Coracoes Love|Três Coracoes Mimo
25;review;cafeteira-tres-coracoes;Cafeteira Tres Coracoes Passione e Boa?;cafeteira-tres-coracoes-passione-e-boa;cafeteira tres coracoes passione e boa;tres coracoes passione;2;Tres Coracoes Passione|Três Coracoes Passione Touch
26;receita;cafeteira-tres-coracoes;Como Destravar Cafeteira Tres Coracoes;como-destravar-cafeteira-tres-coracoes;como destravar cafeteira tres coracoes;luz vermelha cafeteira tres coracoes;0;-
27;receita;cafeteira-tres-coracoes;Como Fazer Cafe na Cafeteira Tres Coracoes;como-fazer-cafe-na-cafeteira-tres-coracoes;como fazer cafe na cafeteira tres coracoes;manual cafeteira tres coracoes;0;-
28;review;seladora-a-vacuo;Melhor Seladora a Vacuo Domestica de 2026;melhor-seladora-a-vacuo-domestica;melhor seladora a vacuo domestica;seladora a vacuo domestica;3;Electrolux VAC40|Cetro ST-150|Freshpack Domestica
29;review;seladora-a-vacuo;Seladora a Vacuo Electrolux e Boa?;seladora-a-vacuo-electrolux-e-boa;seladora a vacuo electrolux e boa;seladora electrolux a vacuo;2;Electrolux VAC40|Electrolux VAC30
30;receita;seladora-a-vacuo;Como Usar Seladora a Vacuo: Guia Pratico;como-usar-seladora-a-vacuo;como usar seladora a vacuo;seladora a vacuo como funciona;0;-
